Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,lat,long,geometry,reported_date
Assist Other Agency / Theft,"5228 S. Lake Park, Chicago, IL",9/27/23 10:56 AM,9/27/23 10:50 AM,CPD officers arrested a suspect for retail theft  / CPD case JG441029,CPD,2023-034102,41.80058330960611,-87.58749463922226,,2023-09-27
Information / Theft,"1228 E. 53rd St., Chicago, IL",9/27/23 3:01 PM,9/27/23 3:00 PM,An unknown person took merchandise from the store without paying / Referred to CPD,Referred,2023-034131,41.79951602876639,-87.59614963880938,,2023-09-27
Information / Battery,"1174 E. 55th St., Chicago, IL",9/28/23 9:02 AM,9/28/23 8:55 AM,A customer threw a drink onto an employee before fleeing / Referred to CPD,Referred,2023-034220,41.79511856384761,-87.5970483970591,,2023-09-28
Theft,"5747 S. Ellis, Chicago, IL",9/28/23 5:46 PM,9/28/23 9:45 AM to 4:45 PM,Secured bike taken from bike rack,Open,23-00932,41.79051653475421,-87.60120377445281,,2023-09-28
Information / Theft,"1554 E. 55th St., Chicago, IL",9/29/23 2:58 PM,9/29/23 2:45 PM,Subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-034396,41.7952934540188,-87.588744563006,,2023-09-29
Information / Theft,"1346 E. 53rd St., Chicago, IL",9/29/23 3:13 PM,9/29/23 3:10 PM,Unknown suspect took merchandise from the off-campus store without paying / Referred to CPD,Referred,2023-034399,41.79955044222373,-87.59306282398296,,2023-09-29
Information / Theft from Person,"5219 S. Kenwood, Chicago, IL",9/29/23 7:05 PM,9/29/23 7:00 PM,Two unknown suspects snatched phone from a victim while walking on the sidewalk off-campus / CPD case JG444200,CPD,2023-034421,41.80016816782808,-87.59281146427037,,2023-09-29
Information / Theft from Person,"5200 S. Kimbark, Chicago, IL",9/29/23 7:42 PM,9/29/23 7:05 PM,Two unknown suspects snatched phone from a victim while walking on the sidewalk off-campus / Referred to CPD,Referred,2023-034433,41.80088438413196,-87.59513098063167,,2023-09-29
Information / Armed Robbery,"5100 S. Kenwood, Chicago, IL",9/30/23 10:39 AM,9/30/23 10:35 AM,"Four unknown suspects, armed with handguns, took property from a person walking on the street off-campus / Suspects fled in a waiting vehicle / Referred to CPD",Referred,2023-034525,41.802341542861086,-87.59355031829563,,2023-09-30
Information / Domestic Battery,"1328 E. Hyde Park, Chicago, IL",9/30/23 4:03 PM,9/30/23 4:00 PM,"Victim reported that subsequent to an argument with his two brothers, they struck him with their fists and fled before police arrived / Referred to CPD",Referred,2023-034550,41.8024574530599,-87.59366000885012,,2023-09-30
Information / Attempted Theft from Person,"5400 S. Harper, Chicago, IL",9/30/23 5:09 PM,9/30/23 5:00 PM,"Unknown suspect attempted to take a purse from a person walking on the sidewalk off-campus, but failed to do so / Suspect fled to waiting vehicle that drove off / Referred to CPD",Referred,2023-034554,41.79802221869079,-87.58913225273079,,2023-09-30
Information / Attempted Theft from Person,"5500 S. Dorchester, Chicago, IL",9/30/23 5:23 PM,9/30/23 4:40 PM,Unknown suspect exited vehicle and attempted to take a phone from the hand of a victim standing on the sidewalk off-campus /Suspect failed to take the phone and ran to a waiting vehicle / Referred to CPD,Referred,2023-034556,41.79442198003318,-87.59174191818028,,2023-09-30
